i = 1, pred = 0.8584399819374084d0, var = 0.0d0
i = 1.2, pred = 0.8573730715912279d0, var = 1.98653757116037d-5
i = 1.4000001, pred = 0.8569145637286598d0, var = 1.920065208279877d-5
i = 1.6000001, pred = 0.8564101831797619d0, var = 1.867477715813241d-5
i = 1.8000002, pred = 0.8558611985564533d0, var = 1.8264861815294808d-5
i = 2.0000002, pred = 0.855270811701878d0, var = 1.7950388360083945d-5
i = 2.2000003, pred = 0.8546438239277974d0, var = 1.771386728276592d-5
i = 2.4000003, pred = 0.8539871537250876d0, var = 1.7541075542516267d-5
i = 2.6000004, pred = 0.8533095409063637d0, var = 1.742099310957739d-5
i = 2.8000004, pred = 0.8526213200739892d0, var = 1.7345535430790295d-5
i = 3.0000005, pred = 0.8519341096087888d0, var = 1.7309176641591802d-5
i = 3.2000005, pred = 0.8512603467777512d0, var = 1.7308462059011096d-5
i = 3.4000006, pred = 0.8506126408883747d0, var = 1.7341384482026033d-5
i = 3.6000006, pred = 0.850003090556652d0, var = 1.7406594668702185d-5
i = 3.8000007, pred = 0.8494426116124747d0, var = 1.7502428822377418d-5
i = 4.0000005, pred = 0.8489405073853942d0, var = 1.762585834008531d-5
i = 4.2000003, pred = 0.8485037393302143d0, var = 1.7771557364713637d-5
i = 4.4, pred = 0.8481368367454484d0, var = 1.7931309608259913d-5
i = 4.6, pred = 0.847841824644312d0, var = 1.8094074362541254d-5
i = 4.7999997, pred = 0.8476181315326456d0, var = 1.824671777429002d-5
i = 4.9999995, pred = 0.8474631346389896d0, var = 1.8375467357057015d-5
i = 5.1999993, pred = 0.8473723793132389d0, var = 1.8467686978963785d-5
i = 5.399999, pred = 0.8473400277420322d0, var = 1.851375746789826d-5
i = 5.599999, pred = 0.8473593695441259d0, var = 1.8508515509578025d-5
i = 5.7999988, pred = 0.8474232516341013d0, var = 1.8452098206777094d-5
i = 5.9999986, pred = 0.8475242518323496d0, var = 1.8349851582510265d-5
i = 6.1999984, pred = 0.8476552785677777d0, var = 1.8211490091936346d-5
i = 6.399998, pred = 0.8478095231778496d0, var = 1.804948632824602d-5
i = 6.599998, pred = 0.8479809451139675d0, var = 1.787719101167248d-5
i = 6.799998, pred = 0.8481642668206227d0, var = 1.7706913724342397d-5
i = 6.9999976, pred = 0.8483552038628981d0, var = 1.7548473024493515d-5
i = 7.1999974, pred = 0.8485504112701407d0, var = 1.740835372042164d-5
i = 7.399997, pred = 0.8487476872712102d0, var = 1.728965247091549d-5
i = 7.599997, pred = 0.848945851981909d0, var = 1.7192580637446873d-5
i = 7.799997, pred = 0.8491447690853717d0, var = 1.711537521914926d-5
i = 7.9999967, pred = 0.8493450242249424d0, var = 1.7055230482289526d-5
i = 8.199997, pred = 0.8495478623061175d0, var = 1.7009126785045874d-5
i = 8.399997, pred = 0.8497548985891201d0, var = 1.6974359481002346d-5
i = 8.599997, pred = 0.8499676068719353d0, var = 1.6948825560596574d-5
i = 8.799996, pred = 0.8501871196651769d0, var = 1.6931084144857075d-5
i = 8.999996, pred = 0.8504140821041021d0, var = 1.6920303856086208d-5
i = 9.199996, pred = 0.8506482606673673d0, var = 1.6916179326398432d-5
i = 9.399996, pred = 0.8508886138043951d0, var = 1.6918902977059244d-5
i = 9.599996, pred = 0.8511334954680118d0, var = 1.6929207139687564d-5
i = 9.799995, pred = 0.8513805548882961d0, var = 1.694844806807149d-5
i = 9.999995, pred = 0.8516272423123654d0, var = 1.6978682710837996d-5
i = 10.199995, pred = 0.8518710995322643d0, var = 1.7022601174469314d-5
i = 10.399995, pred = 0.8521097866262196d0, var = 1.7083262525498633d-5
i = 10.599995, pred = 0.8523413225190211d0, var = 1.7163548576142433d-5
i = 10.799994, pred = 0.8525641088351663d0, var = 1.7265367939448262d-5
i = 10.999994, pred = 0.8527768641021088d0, var = 1.738869344189424d-5
i = 11.199994, pred = 0.8529785095582366d0, var = 1.7530676211599356d-5
i = 11.399994, pred = 0.8531680506695938d0, var = 1.768511367373148d-5
i = 11.599994, pred = 0.8533444886075336d0, var = 1.784252029366019d-5
i = 11.7999935, pred = 0.8535067906749575d0, var = 1.799093635110603d-5
i = 11.999993, pred = 0.8536537338635141d0, var = 1.81173802536015d-5
i = 12.199993, pred = 0.8537839414156878d0, var = 1.820972026571593d-5
i = 12.399993, pred = 0.8538959807236075d0, var = 1.8258569564985345d-5
i = 12.599993, pred = 0.8539882941151749d0, var = 1.825880587026497d-5
i = 12.799993, pred = 0.8540593930420752d0, var = 1.8210427933283732d-5
i = 12.999992, pred = 0.8541077847798697d0, var = 1.8118554328792217d-5
i = 13.199992, pred = 0.854132133779185d0, var = 1.7992567553431223d-5
i = 13.399992, pred = 0.8541313415116589d0, var = 1.78445812442832d-5
i = 13.599992, pred = 0.8541046668176289d0, var = 1.7687548175642423d-5
i = 13.799992, pred = 0.8540517455846393d0, var = 1.753338801156734d-5
i = 13.999991, pred = 0.8539728583101766d0, var = 1.739152718293079d-5
i = 14.199991, pred = 0.8538688377935734d0, var = 1.7268097849571813d-5
i = 14.399991, pred = 0.8537412451386317d0, var = 1.71658564481405d-5
i = 14.599991, pred = 0.8535925253612898d0, var = 1.708472756944567d-5
i = 14.799991, pred = 0.853425656514868d0, var = 1.7022685858256027d-5
i = 14.99999, pred = 0.8532443424966514d0, var = 1.6976723383876405d-5
i = 15.19999, pred = 0.8530528719866765d0, var = 1.6943648358956062d-5
i = 15.39999, pred = 0.8528555762412102d0, var = 1.69206383532915d-5
i = 15.59999, pred = 0.8526568109511808d0, var = 1.6905510835165667d-5
i = 15.79999, pred = 0.8524605714526793d0, var = 1.689679430716997d-5
i = 15.9999895, pred = 0.8522701075350678d0, var = 1.6893656836778855d-5
i = 16.19999, pred = 0.852087782105288d0, var = 1.6895834810244587d-5
i = 16.39999, pred = 0.8519150327251108d0, var = 1.6903588772370035d-5
i = 16.59999, pred = 0.8517521975354039d0, var = 1.6917743871741d-5
i = 16.799992, pred = 0.8515989483088847d0, var = 1.6939773196830904d-5
i = 16.999992, pred = 0.8514541910727728d0, var = 1.697185913229623d-5
i = 17.199993, pred = 0.8513165556905898d0, var = 1.701682701519488d-5
i = 17.399994, pred = 0.8511845440875041d0, var = 1.707787690945118d-5
i = 17.599995, pred = 0.8510567238548378d0, var = 1.7158026908798378d-5
i = 17.799995, pred = 0.8509319649936207d0, var = 1.7259316903562493d-5
i = 17.999996, pred = 0.8508094119287433d0, var = 1.738184168190882d-5
i = 18.199997, pred = 0.8506885287431173d0, var = 1.7522863016992477d-5
i = 18.399998, pred = 0.850569231041798d0, var = 1.7676274508962736d-5
i = 18.599998, pred = 0.8504515342202799d0, var = 1.783267474400032d-5
i = 18.8, pred = 0.8503357007298143d0, var = 1.7980168661553342d-5
i = 19.0, pred = 0.8502221371708597d0, var = 1.8105826487493004d-5
i = 19.2, pred = 0.8501112033481176d0, var = 1.8197554883517134d-5
i = 19.400002, pred = 0.8500031767719379d0, var = 1.8245985806536495d-5
i = 19.600002, pred = 0.8498983375407128d0, var = 1.8246011471875175d-5
i = 19.800003, pred = 0.8497966096345138d0, var = 1.8197629432307615d-5
i = 20.000004, pred = 0.8496977795444925d0, var = 1.8105949981261672d-5
i = 20.200005, pred = 0.849601309022424d0, var = 1.798033898769546d-5
i = 20.400005, pred = 0.8495063487392622d0, var = 1.783288996539542d-5
i = 20.600006, pred = 0.8494119218187243d0, var = 1.767652875106545d-5
i = 20.800007, pred = 0.8493167284074464d0, var = 1.752314569115299d-5
i = 21.000008, pred = 0.8492193443510582d0, var = 1.7382144518213962d-5
i = 21.200008, pred = 0.8491184912887295d0, var = 1.7259621874619442d-5
i = 21.40001, pred = 0.8490129478947372d0, var = 1.715831081424761d-5
i = 21.60001, pred = 0.8489020829695393d0, var = 1.7078109711298346d-5
i = 21.80001, pred = 0.8487856333942813d0, var = 1.7016973897965316d-5
i = 22.000011, pred = 0.8486640592943556d0, var = 1.697187311771279d-5
i = 22.200012, pred = 0.8485385437788925d0, var = 1.69396029885235d-5
i = 22.400013, pred = 0.848410782802925d0, var = 1.691733056072119d-5
i = 22.600014, pred = 0.8482827561203546d0, var = 1.6902864040998677d-5
i = 22.800014, pred = 0.8481567358351334d0, var = 1.689472552296431d-5
i = 23.000015, pred = 0.848034666988586d0, var = 1.689208460126389d-5
i = 23.200016, pred = 0.8479184024979377d0, var = 1.6894675872223644d-5
i = 23.400017, pred = 0.847809384344091d0, var = 1.69027645538122d-5
i = 23.600018, pred = 0.8477087300177052d0, var = 1.6917181007163567d-5
i = 23.800018, pred = 0.8476172826963645d0, var = 1.6939404528564876d-5
i = 24.00002, pred = 0.8475360325853541d0, var = 1.6971624121984458d-5
i = 24.20002, pred = 0.8474660811460017d0, var = 1.7016674715426306d-5
i = 24.40002, pred = 0.847408774046222d0, var = 1.707776181334613d-5
i = 24.600021, pred = 0.8473655534151409d0, var = 1.715791624654031d-5
i = 24.800022, pred = 0.8473379940484945d0, var = 1.725918371373387d-5
i = 25.000023, pred = 0.8473275300267263d0, var = 1.7381665249170395d-5
i = 25.200024, pred = 0.8473350302725529d0, var = 1.752262980196428d-5
i = 25.400024, pred = 0.8473606783543027d0, var = 1.7675978215474924d-5
i = 25.600025, pred = 0.8474038007977507d0, var = 1.783231232996586d-5
i = 25.800026, pred = 0.8474627789275033d0, var = 1.797973922980358d-5
i = 26.000027, pred = 0.8475350368652438d0, var = 1.810533876524874d-5
i = 26.200027, pred = 0.8476170680321428d0, var = 1.819701558566461d-5
i = 26.400028, pred = 0.8477045541796109d0, var = 1.824540604290602d-5
i = 26.600029, pred = 0.8477928487598073d0, var = 1.8245401086088013d-5
i = 26.80003, pred = 0.847876859538871d0, var = 1.8197000607826983d-5
i = 27.00003, pred = 0.8479515044033258d0, var = 1.8105316120974138d-5
i = 27.200031, pred = 0.848011995717459d0, var = 1.797971233402605d-5
i = 27.400032, pred = 0.8480541152269765d0, var = 1.783228452493248d-5
i = 27.600033, pred = 0.8480746332032548d0, var = 1.7675952188960857d-5
i = 27.800034, pred = 0.8480711646646771d0, var = 1.752260881791284d-5
i = 28.000034, pred = 0.848042824363016d0, var = 1.7381651164226816d-5
i = 28.200035, pred = 0.8479898649954589d0, var = 1.7259176805592904d-5
i = 28.400036, pred = 0.8479139381299057d0, var = 1.71579156742162d-5
i = 28.600037, pred = 0.8478175304587484d0, var = 1.7077764875188813d-5
i = 28.800037, pred = 0.8477039484931372d0, var = 1.7016679230723798d-5
i = 29.000038, pred = 0.8475768611649811d0, var = 1.6971626223964d-5
i = 29.200039, pred = 0.8474399366529289d0, var = 1.693940063148989d-5
i = 29.40004, pred = 0.8472967022890536d0, var = 1.6917166331402865d-5
i = 29.60004, pred = 0.8471501318567591d0, var = 1.6902735774080462d-5
i = 29.800041, pred = 0.8470028070471654d0, var = 1.6894628059071738d-5
i = 30.000042, pred = 0.8468567775521647d0, var = 1.6892012639110736d-5
i = 30.200043, pred = 0.8467135864014805d0, var = 1.6894624811134544d-5
i = 30.400043, pred = 0.8465745037688704d0, var = 1.6902730994073017d-5
i = 30.600044, pred = 0.8464406023198003d0, var = 1.6917161093594536d-5
i = 30.800045, pred = 0.846312754808584d0, var = 1.6939392876525486d-5
i = 31.000046, pred = 0.8461918935823207d0, var = 1.6971619419715444d-5
i = 31.200047, pred = 0.8460787797114163d0, var = 1.701667443360016d-5
i = 31.400047, pred = 0.8459741584193246d0, var = 1.7077764238919754d-5
i = 31.600048, pred = 0.8458787086071895d0, var = 1.715791843679644d-5
i = 31.800049, pred = 0.8457930210766743d0, var = 1.725918422784682d-5
i = 32.00005, pred = 0.845717273602947d0, var = 1.738166295824255d-5
i = 32.20005, pred = 0.8456516374454622d0, var = 1.7522622750394336d-5
